tournament_id,year,team,wc_ppg,wc_matches,cont_ppg,cont_n,comp_ppg,pre_elo
WC-2006,2006,Tunisia,0.3333333333333333,3,1.75,4,1.75,1781.7064263722395
WC-2006,2006,Croatia,0.6666666666666666,3,0.6666666666666666,3,1.9333333333333333,1846.9765692501574
WC-2006,2006,Serbia and Montenegro,0.0,3,,0,,1500.0
WC-2006,2006,Netherlands,1.75,4,1.0,5,2.176470588235294,1995.2949614733059
WC-2006,2006,Japan,0.3333333333333333,3,2.3333333333333335,6,2.0344827586206895,1840.6428166639384
WC-2006,2006,Ecuador,1.5,4,0.0,3,1.2857142857142858,1732.00953426979
WC-2006,2006,Ivory Coast,1.0,3,1.8333333333333333,6,2.0,1844.6562876168116
WC-2006,2006,Brazil,2.4,5,1.8333333333333333,6,1.9565217391304348,2059.0065631245056
WC-2006,2006,Australia,1.0,4,,0,1.8,1902.46947701998
WC-2006,2006,Poland,1.0,3,,0,2.4,1820.587166168374
WC-2006,2006,Togo,0.0,3,0.0,3,1.9166666666666667,1596.1127805415715
WC-2006,2006,Argentina,1.8,5,2.1666666666666665,6,1.9545454545454546,1947.9971190275442
WC-2006,2006,South Korea,1.3333333333333333,3,1.75,4,1.8421052631578947,1787.647245977607
WC-2006,2006,Iran,0.3333333333333333,3,2.0,6,2.3333333333333335,1893.6183492947473
WC-2006,2006,Czech Republic,1.0,3,,0,,1500.0
WC-2006,2006,Switzerland,2.0,4,0.3333333333333333,3,1.4666666666666666,1804.5356288886828
WC-2006,2006,Spain,2.25,4,1.3333333333333333,3,1.8666666666666667,1965.3927610786177
WC-2006,2006,France,2.142857142857143,7,1.75,4,1.9285714285714286,1979.4437799561576
WC-2006,2006,Portugal,1.8571428571428572,7,1.6666666666666667,6,2.2222222222222223,1917.8111751103925
WC-2006,2006,Germany,2.4285714285714284,7,0.6666666666666666,3,1.5,1923.0089708988178
WC-2006,2006,Ghana,1.5,4,1.0,3,2.0,1708.0309873078024
WC-2006,2006,Trinidad and Tobago,0.3333333333333333,3,0.6666666666666666,3,1.7741935483870968,1655.6669506103026
WC-2006,2006,Saudi Arabia,0.3333333333333333,3,0.3333333333333333,3,1.9411764705882353,1650.8073998209395
WC-2006,2006,Paraguay,1.0,3,1.75,4,1.6,1789.588972186063
WC-2006,2006,England,2.2,5,1.75,4,2.2857142857142856,1977.3014725338962
WC-2006,2006,Sweden,1.25,4,1.5,4,2.142857142857143,1872.2549251994606
WC-2006,2006,Mexico,1.25,4,1.5,4,2.161290322580645,1882.938539134554
WC-2006,2006,Italy,2.142857142857143,7,1.6666666666666667,3,2.1538461538461537,1944.6615370857003
WC-2006,2006,Angola,0.6666666666666666,3,1.3333333333333333,3,1.9444444444444444,1672.0596841449667
